region,date,lat,lon,sst_fahrenheit
San Diego,2025-07-01,33.424020720876555,-118.13735938109996,291.4821
San Diego,2025-07-01,33.42481249973129,-118.1129935974216,291.43283
San Diego,2025-07-01,33.42560545242279,-118.08862182973601,291.13773
San Diego,2025-07-01,33.426399579870065,-118.06424406690279,291.0958
San Diego,2025-07-01,33.4271948829942,-118.0398602977633,290.9786
San Diego,2025-07-01,33.42799136271907,-118.01547051113998,291.0134
San Diego,2025-07-01,33.42878923238231,-117.99106820333252,290.99774
San Diego,2025-07-01,33.42958806840069,-117.96666634652783,291.045
San Diego,2025-07-01,33.43038808380264,-117.94225843859425,290.99823
San Diego,2025-07-01,33.43118927952048,-117.91784446828026,290.91876
San Diego,2025-07-01,33.431991656488414,-117.89342442431581,290.8326
San Diego,2025-07-01,33.43279521564241,-117.86899829541252,290.74582
San Diego,2025-07-01,33.43359995792109,-117.84456607026281,290.6921
San Diego,2025-07-01,33.43440588426513,-117.82012773754037,290.54428
San Diego,2025-07-01,33.4352129956173,-117.79568328590014,290.392
San Diego,2025-07-01,33.43602129292248,-117.77123270397809,290.25314
San Diego,2025-07-01,33.43683099268892,-117.74676947166323,290.19055
San Diego,2025-07-01,33.437641665060184,-117.72230659337032,290.08853
San Diego,2025-07-01,33.43845352623258,-117.69783755058631,289.7941
San Diego,2025-07-01,33.43926657716013,-117.67336233187059,290.37155
San Diego,2025-07-01,33.39974868812732,-118.14374716143627,291.45938
San Diego,2025-07-01,33.40053935401895,-118.11939087247613,291.23376
San Diego,2025-07-01,33.40133119191649,-118.09502860702707,291.06824
San Diego,2025-07-01,33.402124202737284,-118.07066035396574,290.93362
San Diego,2025-07-01,33.40291838740024,-118.04628610215093,290.90353
San Diego,2025-07-01,33.403713746826796,-118.0219058404228,290.92538
San Diego,2025-07-01,33.40451049405377,-117.99751306763595,290.92682
San Diego,2025-07-01,33.40530820609258,-117.973120750922,290.95987
San Diego,2025-07-01,33.4061070956714,-117.94872239070226,291.02142
San Diego,2025-07-01,33.4069071637203,-117.92431797574292,291.13834
San Diego,2025-07-01,33.40770841117102,-117.8999074947918,290.93423
San Diego,2025-07-01,33.40851083895741,-117.87549093657822,290.8621
San Diego,2025-07-01,33.40931444801616,-117.85106828981216,290.79172
San Diego,2025-07-01,33.410119239285216,-117.82663954318558,290.69467
San Diego,2025-07-01,33.41092521370512,-117.80220468537121,290.56027
San Diego,2025-07-01,33.4117323722187,-117.77776370502283,290.41528
San Diego,2025-07-01,33.41254093102815,-117.75331008460562,290.343
San Diego,2025-07-01,33.413350460881944,-117.7288568234381,290.2153
San Diego,2025-07-01,33.41416117767055,-117.7043974055815,289.96002
San Diego,2025-07-01,33.41497308234589,-117.6799318196133,289.7304
San Diego,2025-07-01,33.41578617586114,-117.6554600540924,290.02145
San Diego,2025-07-01,33.37548735151136,-118.15012421697094,291.02866
San Diego,2025-07-01,33.37627690660736,-118.12577740520155,290.95084
San Diego,2025-07-01,33.377067631883044,-118.10142462444065,290.82852
San Diego,2025-07-01,33.37785952825338,-118.07706586358253,290.68558
San Diego,2025-07-01,33.37865259663536,-118.05270111150313,290.6918
San Diego,2025-07-01,33.379446837947796,-118.02833035706034,290.8156
San Diego,2025-07-01,33.38024246492747,-118.00394710165887,290.9381
San Diego,2025-07-01,33.38103905517946,-117.97956430738427,291.0674
San Diego,2025-07-01,33.38183682113203,-117.95517547720623,291.1376
San Diego,2025-07-01,33.38263576371293,-117.93078059990856,291.19263
San Diego,2025-07-01,33.38343588385168,-117.90637966425686,291.1268
San Diego,2025-07-01,33.38423718248007,-117.88197265899798,291.03455
San Diego,2025-07-01,33.38503966053248,-117.85755957285974,290.93527
San Diego,2025-07-01,33.38584331894415,-117.83314039455216,290.8439
San Diego,2025-07-01,33.38664815865428,-117.80871511276526,290.69577
